propertyValue;propertyGroup;propertyName;Kołnierz:BP/H9;Kołnierz:BP/UO;Kołnierz:D;Kołnierz:H;Kołnierz:H12;Kołnierz:H5;Kołnierz:H9;Kołnierz:Jupiter;Kołnierz:Jupiter/H5;Kołnierz:KK1 BP;Kołnierz:KK1 L;Kołnierz:KK1 LH;Kołnierz:KK1 P;Kołnierz:KK1 R;Kołnierz:KK1 U;Kołnierz:KKL BP;Kołnierz:KKL L;Kołnierz:KKL LH;Kołnierz:KKL P;Kołnierz:KKL R;Kołnierz:KKL U;Kołnierz:KKP BP;Kołnierz:KKP L;Kołnierz:KKP LH;Kołnierz:KKP P;Kołnierz:KKP R;Kołnierz:KKP U;Kołnierz:KKS BP;Kołnierz:KKS L;Kołnierz:KKS P;Kołnierz:KKS R;Kołnierz:KKS U;Kołnierz:KU+;Kołnierz:KXL BP/UO;Kołnierz:KXL D;Kołnierz:KXL H/O;Kołnierz:KXL H12;Kołnierz:KXL H5;Kołnierz:KXL H9;Kołnierz:KXL Jupiter/H5;Kołnierz:KXL L;Kołnierz:KXL LH;Kołnierz:KXL P;Kołnierz:KXL R;Kołnierz:KXL U/O;Kołnierz:KXL-BP-H9;Kołnierz:KXP BP/H9;Kołnierz:KXP BP/UO;Kołnierz:KXP D;Kołnierz:KXP H/O;Kołnierz:KXP H12;Kołnierz:KXP H5;Kołnierz:KXP H9;Kołnierz:KXP Jupiter/H5;Kołnierz:KXP L;Kołnierz:KXP LH;Kołnierz:KXP P;Kołnierz:KXP R;Kołnierz:KXP U/O;Kołnierz:KXS BP H9;Kołnierz:KXS BP/UO;Kołnierz:KXS D;Kołnierz:KXS H/O;Kołnierz:KXS H12;Kołnierz:KXS H5;Kołnierz:KXS H9;Kołnierz:KXS Jupiter/H5;Kołnierz:KXS L;Kołnierz:KXS LH;Kołnierz:KXS P;Kołnierz:KXS R;Kołnierz:KXS U/O;Kołnierz:KYS BP;Kołnierz:KYS L;Kołnierz:KYS LH;Kołnierz:KYS R;Kołnierz:KYS U;Kołnierz:KZL BP;Kołnierz:KZL L;Kołnierz:KZL LH;Kołnierz:KZL R;Kołnierz:KZL U;Kołnierz:KZP BP;Kołnierz:KZP L;Kołnierz:KZP LH;Kołnierz:KZP R;Kołnierz:KZP U;Kołnierz:KZS L;Kołnierz:KZS U;Kołnierz:L;Kołnierz:LH;Kołnierz:P;Kołnierz:R;Kołnierz:U;Kołnierz:KZP H;Kołnierz:KZL H;Kołnierz:KZS H;Kołnierz:KYS H;Kołnierz:A
Kołnierz:U;flashingType;typKołnierza;null;null;null;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;1;;;;;1;;;;;;;1;;;;;
Kołnierz:P;flashingType;typKołnierza;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;;;;;;;;;;;;;null;;;;;;;;;;;;;null;;;;;;;;;;;null;;;;;null;;;;;null;;;;;;;null;;;;;
Kołnierz:L;flashingType;typKołnierza;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;;;;;;;;;;;;;null;;;;;;;;;;;;;null;;;;;;;;;;;null;;;;;null;;;;;null;;;;;;;null;;;;;
Kołnierz:LH;flashingType;typKołnierza;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;;;;;;;;;;;;;null;;;;;;;;;;;;;null;;;;;;;;;;;null;;;;;null;;;;;null;;;;;;;null;;;;;
Kołnierz:R;flashingType;typKołnierza;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;;;;;;;;;;;;;null;;;;;;;;;;;;;null;;;;;;;;;;;null;;;;;null;;;;;null;;;;;;;null;;;;;
Kołnierz:BP;flashingType;typKołnierza;0;0;null;null;null;null;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;;;;;;;;;;;;;null;;;;;;;;;;;;;null;;;;;;;;;;;null;;;;;null;;;;;null;;;;;;;null;;;;;
Kołnierz:D;flashingType;typKołnierza;null;null;0;null;null;null;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;;;;;;;;;;;;;null;;;;;;;;;;;;;null;;;;;;;;;;;null;;;;;null;;;;;null;;;;;;;null;;;;;
Kołnierz:RESET;flashingType;typKołnierza;null;null;0;null;null;null;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;;;;;;;;;;;;;null;;;;;;;;;;;;;null;;;;;;;;;;;null;;;;;null;;;;;null;;;;;;;null;;;;;
Kołnierz:KK;lShaped;kolnierzKolankowy;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;;;;;;;;;;;;;null;;;;;;;;;;;;;null;;;;;;;;;;;null;;;;;null;;;;;null;;;;;;;null;;;;;
maxSzerokosc;dimensions;szerokość;134;134;134;134;134;134;134;134;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134;;;;;;;;;;;;;;134;;;;;;;;;;;;;134;;;;;;;;;;;134;;;;;134;;;;;134;;;;;;;134;;;;;
minSzerokosc;dimensions;szerokość;55;55;55;55;55;55;55;55;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;55;;;;;;;;;;;;;55;;;;;;;;;;;55;;;;;55;;;;;55;;;;;;;55;;;;;
maxWysokosc;dimensions;wysokość;160;160;160;160;160;160;160;160;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;;;;;;;;160;;;;;;;;;;;;;160;;;;;;;;;;;160;;;;;160;;;;;160;;;;;;;160;;;;;
